wn,T
5.000000e+02,2.769031e+01
5.100000e+02,3.403461e+01
5.200000e+02,3.867760e+01
5.300000e+02,3.906123e+01
5.400000e+02,3.226034e+01
5.500000e+02,2.056832e+01
5.600000e+02,1.631108e+01
5.700000e+02,1.337894e+01
5.800000e+02,1.273179e+01
5.900000e+02,1.368739e+01
6.000000e+02,8.131303e+00
6.100000e+02,9.880614e+00
6.200000e+02,1.132515e+01
6.300000e+02,2.341340e+00
6.400000e+02,2.018014e+00
6.500000e+02,1.649460e+00
6.600000e+02,1.511977e+00
6.700000e+02,1.296085e+00
6.800000e+02,1.186736e+00
6.900000e+02,1.395958e+00
7.000000e+02,1.451621e+00
7.100000e+02,1.283814e+00
7.200000e+02,1.347425e+00
7.300000e+02,1.331210e+00
7.400000e+02,1.255190e+00
7.500000e+02,1.071795e+00
7.600000e+02,9.036851e-01
7.700000e+02,8.199454e-01
7.800000e+02,7.467312e-01
7.900000e+02,7.199841e-01
8.000000e+02,7.337275e-01
8.100000e+02,7.671244e-01
8.200000e+02,1.870229e+00
8.300000e+02,2.009687e+00
8.400000e+02,1.874029e+00
8.500000e+02,2.934251e+00
8.600000e+02,2.325651e+00
8.700000e+02,1.940746e+00
8.800000e+02,2.813781e+00
8.900000e+02,2.823522e+00
9.000000e+02,3.153295e+00
9.100000e+02,6.110201e+00
9.200000e+02,8.581734e+00
9.300000e+02,1.136933e+01
9.400000e+02,1.627433e+01
9.500000e+02,1.192859e+01
9.600000e+02,8.335963e+00
9.700000e+02,7.709076e+00
9.800000e+02,6.772589e+00
9.900000e+02,7.265635e+00
1.000000e+03,9.900897e+00
1.010000e+03,1.360773e+01
1.020000e+03,2.538755e+01
1.030000e+03,4.114489e+01
1.040000e+03,4.348237e+01
1.050000e+03,3.038034e+01
1.060000e+03,1.962015e+01
1.070000e+03,1.467267e+01
1.080000e+03,9.665662e+00
1.090000e+03,9.829854e+00
1.100000e+03,1.144045e+01
1.110000e+03,7.475020e+00
1.120000e+03,9.335085e+00
1.130000e+03,3.511275e+01
1.140000e+03,3.176950e+01
1.150000e+03,2.129840e+01
1.160000e+03,1.474001e+01
1.170000e+03,1.119145e+01
1.180000e+03,9.788114e+00
1.190000e+03,9.749636e+00
1.200000e+03,1.150512e+01
1.210000e+03,1.585706e+01
1.220000e+03,2.284660e+01
1.230000e+03,2.870581e+01
1.240000e+03,2.136187e+01
1.250000e+03,1.120076e+01
1.260000e+03,7.200565e+00
1.270000e+03,5.362754e+00
1.280000e+03,4.656308e+00
1.290000e+03,4.693020e+00
1.300000e+03,5.857015e+00
1.310000e+03,8.221125e+00
1.320000e+03,1.332446e+01
1.330000e+03,2.172003e+01
1.340000e+03,1.578919e+01
1.350000e+03,8.321870e+00
1.360000e+03,4.874120e+00
1.370000e+03,3.474328e+00
1.380000e+03,2.927522e+00
1.390000e+03,2.816059e+00
1.400000e+03,3.245447e+00
1.410000e+03,4.398492e+00
1.420000e+03,7.329206e+00
1.430000e+03,1.291698e+01
1.440000e+03,1.186374e+01
1.450000e+03,7.314055e+00
1.460000e+03,4.334251e+00
1.470000e+03,3.172770e+00
1.480000e+03,2.596378e+00
1.490000e+03,2.487569e+00
1.500000e+03,2.774267e+00
1.510000e+03,3.619954e+00
1.520000e+03,5.572830e+00
1.530000e+03,9.039821e+00
1.540000e+03,1.345098e+01
1.550000e+03,1.163440e+01
1.560000e+03,7.277399e+00
1.570000e+03,5.107829e+00
1.580000e+03,4.207384e+00
1.590000e+03,4.043040e+00
1.600000e+03,4.495981e+00
1.610000e+03,6.419131e+00
1.620000e+03,9.491490e+00
1.630000e+03,1.478597e+01
1.640000e+03,2.129945e+01
1.650000e+03,1.862371e+01
1.660000e+03,1.433957e+01
1.670000e+03,1.110453e+01
1.680000e+03,9.861631e+00
1.690000e+03,9.556166e+00
1.700000e+03,1.104545e+01
1.710000e+03,1.410018e+01
1.720000e+03,1.751582e+01
1.730000e+03,1.794646e+01
1.740000e+03,1.337540e+01
1.750000e+03,8.390513e+00
1.760000e+03,5.864894e+00
1.770000e+03,4.629133e+00
1.780000e+03,3.988303e+00
1.790000e+03,4.284878e+00
1.800000e+03,5.382838e+00
1.810000e+03,6.947463e+00
1.820000e+03,6.566247e+00
1.830000e+03,3.393249e+00
1.840000e+03,1.728784e+00
1.850000e+03,1.004597e+00
1.860000e+03,6.949588e-01
1.870000e+03,5.520430e-01
1.880000e+03,5.123934e-01
1.890000e+03,5.653379e-01
1.900000e+03,7.424446e-01
1.910000e+03,1.150528e+00
1.920000e+03,1.628856e+00
1.930000e+03,1.017589e+00
1.940000e+03,4.755218e-01
1.950000e+03,2.499915e-01
1.960000e+03,1.584967e-01
1.970000e+03,1.198832e-01
1.980000e+03,1.038749e-01
1.990000e+03,1.043041e-01
2.000000e+03,1.227829e-01
2.010000e+03,1.720004e-01
2.020000e+03,2.945395e-01
2.030000e+03,4.650361e-01
2.040000e+03,3.261058e-01
