wn,T
5.000000e+02,1.576344e+01
5.100000e+02,1.790871e+01
5.200000e+02,8.919192e+00
5.300000e+02,9.685717e+00
5.400000e+02,1.030083e+01
5.500000e+02,4.322542e+00
5.600000e+02,4.231324e+00
5.700000e+02,6.284031e+00
5.800000e+02,5.538252e+00
5.900000e+02,4.728211e+00
6.000000e+02,2.302654e-01
6.100000e+02,1.831106e-01
6.200000e+02,1.477573e-01
6.300000e+02,2.539415e+01
6.400000e+02,2.155677e+01
6.500000e+02,1.791577e+01
6.600000e+02,1.980535e+01
6.700000e+02,1.753373e+01
6.800000e+02,1.690309e+01
6.900000e+02,1.803159e+01
7.000000e+02,2.095181e+01
7.100000e+02,1.370364e+01
7.200000e+02,1.677645e+01
7.300000e+02,1.920962e+01
7.400000e+02,1.385795e+01
7.500000e+02,1.137480e+01
7.600000e+02,8.617428e+00
7.700000e+02,6.633546e+00
7.800000e+02,5.258579e+00
7.900000e+02,4.394340e+00
8.000000e+02,3.811096e+00
8.100000e+02,3.609089e+00
8.200000e+02,3.816902e+00
8.300000e+02,4.496349e+00
8.400000e+02,5.143997e+00
8.500000e+02,6.084282e+00
8.600000e+02,7.522337e+00
8.700000e+02,9.413110e+00
8.800000e+02,1.527836e+01
8.900000e+02,1.626997e+01
9.000000e+02,1.508761e+01
9.100000e+02,2.137680e+01
9.200000e+02,1.762783e+01
9.300000e+02,1.538122e+01
9.400000e+02,1.796084e+01
9.500000e+02,1.812340e+01
9.600000e+02,1.959845e+01
9.700000e+02,2.312045e+01
9.800000e+02,2.690784e+01
9.900000e+02,3.413681e+01
1.000000e+03,4.119345e+01
1.010000e+03,4.304071e+01
1.020000e+03,4.575548e+01
1.030000e+03,4.400770e+01
1.040000e+03,4.271174e+01
1.050000e+03,4.065257e+01
1.060000e+03,4.117772e+01
1.070000e+03,4.210335e+01
1.080000e+03,1.970811e+01
1.090000e+03,1.990051e+01
1.100000e+03,1.997033e+01
1.110000e+03,7.697115e+00
1.120000e+03,7.428012e+00
1.130000e+03,3.029184e+01
1.140000e+03,3.024735e+01
1.150000e+03,2.982374e+01
1.160000e+03,4.057051e+01
1.170000e+03,3.714532e+01
1.180000e+03,3.145175e+01
1.190000e+03,3.433304e+01
1.200000e+03,2.679871e+01
1.210000e+03,2.157162e+01
1.220000e+03,1.920859e+01
1.230000e+03,1.782764e+01
1.240000e+03,1.819683e+01
1.250000e+03,1.866980e+01
1.260000e+03,2.322462e+01
1.270000e+03,2.598082e+01
1.280000e+03,3.330527e+01
1.290000e+03,3.399542e+01
1.300000e+03,2.258726e+01
1.310000e+03,1.476945e+01
1.320000e+03,9.778014e+00
1.330000e+03,7.032589e+00
1.340000e+03,5.481924e+00
1.350000e+03,4.637270e+00
1.360000e+03,3.999902e+00
1.370000e+03,3.952768e+00
1.380000e+03,4.214263e+00
1.390000e+03,4.722229e+00
1.400000e+03,5.913293e+00
1.410000e+03,7.723966e+00
1.420000e+03,1.113263e+01
1.430000e+03,1.559818e+01
1.440000e+03,1.854541e+01
1.450000e+03,1.594529e+01
1.460000e+03,1.170411e+01
1.470000e+03,1.016824e+01
1.480000e+03,7.923949e+00
1.490000e+03,6.770695e+00
1.500000e+03,7.494156e+00
1.510000e+03,7.661166e+00
1.520000e+03,8.518462e+00
1.530000e+03,9.347742e+00
1.540000e+03,1.203440e+01
1.550000e+03,1.517411e+01
1.560000e+03,2.059516e+01
1.570000e+03,2.755242e+01
1.580000e+03,2.963651e+01
1.590000e+03,2.994716e+01
1.600000e+03,2.738293e+01
1.610000e+03,2.492735e+01
1.620000e+03,2.283574e+01
1.630000e+03,2.180434e+01
1.640000e+03,2.107879e+01
1.650000e+03,2.137579e+01
1.660000e+03,1.843550e+01
1.670000e+03,1.868922e+01
1.680000e+03,1.875377e+01
1.690000e+03,1.882072e+01
1.700000e+03,1.828446e+01
1.710000e+03,1.738267e+01
1.720000e+03,1.349431e+01
1.730000e+03,1.215375e+01
1.740000e+03,1.077970e+01
1.750000e+03,1.097416e+01
1.760000e+03,9.766104e+00
1.770000e+03,8.972809e+00
1.780000e+03,9.381238e+00
1.790000e+03,9.576970e+00
1.800000e+03,1.067615e+01
1.810000e+03,1.217114e+01
1.820000e+03,1.373647e+01
1.830000e+03,1.250826e+01
1.840000e+03,9.193115e+00
1.850000e+03,5.800850e+00
1.860000e+03,3.819001e+00
1.870000e+03,2.493984e+00
1.880000e+03,1.766487e+00
1.890000e+03,1.244771e+00
1.900000e+03,1.037252e+00
1.910000e+03,9.319380e-01
1.920000e+03,8.593496e-01
1.930000e+03,9.002780e-01
1.940000e+03,9.618389e-01
1.950000e+03,1.181637e+00
1.960000e+03,1.545723e+00
1.970000e+03,1.874708e+00
1.980000e+03,1.977409e+00
1.990000e+03,1.544223e+00
2.000000e+03,9.923871e-01
2.010000e+03,6.496803e-01
2.020000e+03,4.520304e-01
2.030000e+03,3.412051e-01
2.040000e+03,2.754217e-01
2.050000e+03,2.387221e-01
2.060000e+03,2.299307e-01
2.070000e+03,2.281619e-01
2.080000e+03,2.504499e-01
2.090000e+03,2.868064e-01
2.100000e+03,3.553987e-01
2.110000e+03,4.877561e-01
2.120000e+03,7.061993e-01
2.130000e+03,1.018778e+00
2.140000e+03,1.190330e+00
2.150000e+03,9.825667e-01
2.160000e+03,6.669749e-01
