wn,T
5.000000e+02,9.283372e-02
5.100000e+02,6.252598e-02
5.200000e+02,5.352203e-02
5.300000e+02,6.486297e-02
5.400000e+02,6.119037e-02
5.500000e+02,2.636990e-02
5.600000e+02,1.875042e-02
5.700000e+02,1.892711e-02
5.800000e+02,2.460259e-02
5.900000e+02,2.044538e-02
6.000000e+02,8.172554e-04
6.100000e+02,5.734524e-04
6.200000e+02,2.302762e-02
6.300000e+02,1.239002e+00
6.400000e+02,7.778263e-01
6.500000e+02,9.792715e+00
6.600000e+02,2.936650e+01
6.700000e+02,3.678984e+01
6.800000e+02,2.953878e+01
6.900000e+02,3.156318e+01
7.000000e+02,2.257714e+01
7.100000e+02,1.182296e+01
7.200000e+02,1.106449e+01
7.300000e+02,1.281688e+00
7.400000e+02,7.550994e-01
7.500000e+02,4.249279e-01
7.600000e+02,4.695433e-01
7.700000e+02,8.106385e-01
7.800000e+02,6.554697e-01
7.900000e+02,2.379606e-01
8.000000e+02,1.750977e-01
8.100000e+02,1.925592e-01
8.200000e+02,2.910371e-01
8.300000e+02,1.541165e-01
8.400000e+02,1.068512e-01
8.500000e+02,1.099762e-01
8.600000e+02,2.257670e-01
8.700000e+02,2.492210e-01
8.800000e+02,1.050721e-01
8.900000e+02,9.099797e-02
9.000000e+02,2.273732e-01
9.100000e+02,7.074913e-01
9.200000e+02,2.976326e-01
9.300000e+02,2.485599e-01
9.400000e+02,4.193347e-01
9.500000e+02,1.889142e+00
9.600000e+02,2.095501e+00
9.700000e+02,1.089303e+00
9.800000e+02,1.880454e+00
9.900000e+02,1.171476e+01
1.000000e+03,2.728347e+01
1.010000e+03,2.373457e+01
1.020000e+03,4.954339e+00
1.030000e+03,2.117168e+00
1.040000e+03,3.583992e+00
1.050000e+03,4.415006e+00
1.060000e+03,7.298647e-01
1.070000e+03,3.626723e-01
1.080000e+03,4.455913e-01
1.090000e+03,3.421784e-01
1.100000e+03,1.513831e-01
1.110000e+03,5.486845e-02
1.120000e+03,1.156074e-01
1.130000e+03,5.754727e-01
1.140000e+03,6.898671e-01
1.150000e+03,2.631400e-01
1.160000e+03,2.281659e-01
1.170000e+03,4.835927e-01
1.180000e+03,2.950345e+00
1.190000e+03,8.039602e-01
1.200000e+03,4.694187e-01
1.210000e+03,7.527363e-01
1.220000e+03,4.071498e+00
1.230000e+03,4.891954e+00
1.240000e+03,1.928278e+00
1.250000e+03,2.519924e+00
1.260000e+03,8.254558e+00
1.270000e+03,1.777523e+01
1.280000e+03,9.389832e+00
1.290000e+03,9.638484e+00
1.300000e+03,1.514806e+01
1.310000e+03,1.867006e+01
1.320000e+03,1.697285e+01
1.330000e+03,1.778866e+01
1.340000e+03,1.477593e+01
1.350000e+03,1.136687e+01
1.360000e+03,9.448956e+00
1.370000e+03,1.220731e+01
1.380000e+03,1.280807e+01
1.390000e+03,5.405827e+00
1.400000e+03,3.610587e+00
1.410000e+03,5.770702e+00
1.420000e+03,1.206667e+01
1.430000e+03,4.692867e+00
1.440000e+03,2.664455e+00
1.450000e+03,3.621908e+00
1.460000e+03,1.175749e+01
1.470000e+03,9.449311e+00
1.480000e+03,5.447684e+00
1.490000e+03,6.658767e+00
1.500000e+03,1.824060e+01
1.510000e+03,2.970627e+01
1.520000e+03,1.863958e+01
1.530000e+03,2.006774e+01
1.540000e+03,1.931556e+01
1.550000e+03,1.894845e+01
1.560000e+03,1.960207e+01
1.570000e+03,1.865238e+01
1.580000e+03,1.598499e+01
1.590000e+03,1.372122e+01
1.600000e+03,1.159165e+01
1.610000e+03,1.498321e+01
1.620000e+03,1.534442e+01
1.630000e+03,8.450954e+00
1.640000e+03,5.783198e+00
1.650000e+03,7.348363e+00
1.660000e+03,1.440100e+01
1.670000e+03,8.071337e+00
1.680000e+03,4.140551e+00
1.690000e+03,4.817798e+00
1.700000e+03,1.086430e+01
1.710000e+03,1.120867e+01
1.720000e+03,5.814831e+00
1.730000e+03,5.756882e+00
1.740000e+03,9.252303e+00
1.750000e+03,1.323927e+01
1.760000e+03,1.231147e+01
1.770000e+03,1.054967e+01
1.780000e+03,1.036192e+01
1.790000e+03,1.239901e+01
1.800000e+03,1.558105e+01
1.810000e+03,1.393287e+01
1.820000e+03,1.104968e+01
1.830000e+03,9.921105e+00
1.840000e+03,1.170039e+01
1.850000e+03,1.331860e+01
1.860000e+03,1.309594e+01
1.870000e+03,9.448104e+00
1.880000e+03,7.099274e+00
1.890000e+03,8.365667e+00
1.900000e+03,1.155395e+01
1.910000e+03,8.682240e+00
1.920000e+03,5.418403e+00
1.930000e+03,5.116672e+00
1.940000e+03,8.408408e+00
1.950000e+03,9.561544e+00
1.960000e+03,5.784143e+00
1.970000e+03,4.899510e+00
1.980000e+03,5.671640e+00
1.990000e+03,6.743972e+00
2.000000e+03,7.179708e+00
2.010000e+03,5.545108e+00
2.020000e+03,4.117600e+00
2.030000e+03,3.981668e+00
2.040000e+03,6.702716e+00
2.050000e+03,7.038148e+00
2.060000e+03,4.230904e+00
2.070000e+03,3.977713e+00
2.080000e+03,5.380283e+00
